-3.449,5.769,-1.73,19,1869
-2.339,1.86,-1.549,21,1890
-1.35,-1.049,-2.079,20,1910
-1.24,-1.839,-2.509,20,1930
-1.979,-1.909,-3.409,19,1949
-3.22,-1.439,-4.23,21,1970
-4.039,0.74,-4.429,20,1990
-4.039,0.74,-4.429,10,2000
-4.139,2.619,-4.699,30,2030
-5.929,4.009,-1.149,20,2050
-5.929,4.009,-1.149,20,2070
-7.279,15.149,1.259,10,2080
-9.469,19.51,0.359,30,2110
-9.469,19.51,0.359,20,2130
-8.96,19.819,6.599,20,2150
-5.349,19.739,5.469,20,2170
-4.119,17.549,4.639,20,2190
-2.419,15.219,4.15,19,2209
-0.28,12.569,3.909,21,2230
0.819,9,3.99,20,2250
0.93,7.239,3.849,20,2270
0.699,3.039,3,9,2279
0.789,0.859,2.519,31,2310
1.409,-0.81,1.829,10,2320
2.099,-0.849,1.419,30,2350
2.569,0.55,1.159,20,2370
2.579,0.729,1.039,20,2390
2.769,1.11,1.259,20,2410
3.599,1.809,1.629,10,2420
3.73,3.689,2.629,30,2450
3.73,3.689,2.629,20,2470
0.299,16.069,-0.789,10,2480
-3.929,19.819,1.159,30,2510
-7.179,19.819,-1.709,20,2530
-9.75,19.819,-2.359,20,2550
-11.05,19.819,-2.099,22,2572
-6.969,19.819,-0.029,17,2589
-4.019,17.69,-0.889,21,2610
-3.069,14.329,-1.879,20,2630
-3.639,11.01,-1.559,20,2650
-3.639,9.099,-1.389,20,2670
-2.539,2.789,-1.449,20,2690
-2.49,-1.74,-2.98,20,2710
-3.139,-2.819,-3.919,10,2720
-4.36,-0.829,-3.939,30,2750
-4.36,-0.829,-3.939,10,2760
-4.389,0.259,-3.46,20,2780
-2.98,1.269,-3.779,30,2810
-2.929,1.48,-4,10,2820
-4.159,1.579,-1.61,29,2849
-7.649,18.379,0.959,21,2870
-9.069,19.819,-0.759,9,2879
-13.699,18.379,0.579,31,2910
-12.96,19.639,0.149,20,2930
-9.719,19.6,3.189,20,2950
-5.9,19.229,2.159,20,2970
-5.9,19.229,2.159,19,2989
-4.94,13.679,1.299,21,3010
-1.719,13.88,1.299,11,3021
1.49,10.71,2.339,28,3049
2.889,6.839,3.409,21,3070
3.279,4.46,3.959,9,3079
4.949,2.299,4.199,31,3110
5.889,1.519,4.15,11,3121
8.189,-0.329,3.799,29,3150
8.25,0.459,3.24,20,3170
8.25,0.459,3.24,19,3189
8.34,1.809,2.359,20,3209
7.649,3.639,1.569,21,3230
7.649,3.639,1.569,19,3249
-1.439,19.819,-3.019,21,3270
-5.73,19.819,-1.12,20,3290
-9.079,19.819,-3.819,20,3310
-10.88,19.819,-0.55,19,3329
-8.22,19.819,0.119,21,3350
-1.99,17.699,0.229,20,3370
-2.899,13.079,-0.949,20,3390
-3.659,11.189,-1.36,10,3400
-5.4,5.339,-2.669,30,3430
-5.4,5.339,-2.669,19,3449
-5.519,-1.1,-6.15,21,3470
-5.519,-1.1,-6.15,10,3480
-6.859,-3.009,-6.23,29,3509
-6.809,-2.109,-6.659,21,3530
-6.789,-1.169,-6.67,10,3540
-6.98,1.019,-6.309,30,3570
-6.509,1.069,-5.869,19,3589
-6.139,10.989,0.959,21,3610
-7.429,17.069,-1.22,20,3630
-7.429,19.819,-1.22,20,3650
-8.739,19.819,3.609,20,3670
-8.679,19.819,5,20,3690
-8.679,19.819,5,19,3709
-3.269,19.049,2.299,21,3730
-1.719,15.519,2.659,24,3754
-1.059,14.719,2.74,6,3760
1.159,13.899,3.049,30,3790
2.339,8.539,4.559,10,3800
4.009,3.639,4.21,30,3830
4.009,3.639,4.21,10,3840
6.119,0.87,3.849,30,3870
