-0.019,3.49,8.489,19,1900
0.079,3.559,8.489,20,1920
0.469,3.429,8.63,20,1940
0.81,3.179,9.199,30,1970
0.81,3.179,9.199,11,1981
0.519,2.909,9.929,20,2001
0.519,2.909,9.929,19,2020
-0.119,2.73,10.399,20,2040
-0.319,2.75,10.09,20,2060
-0.319,2.75,10.09,21,2081
-0.479,3,9.26,19,2100
-0.409,3.139,8.859,20,2120
-0.379,3.169,8.539,20,2140
-0.209,3.109,8.76,20,2160
-0.109,3.079,8.929,21,2181
0.119,2.919,9.319,20,2201
0.119,2.919,9.319,19,2220
0.189,2.829,9.3,20,2240
0,2.799,9.22,20,2260
0,2.799,9.22,21,2281
-0.109,2.75,9.34,19,2300
-0.149,2.73,9.479,31,2331
-0.269,2.619,9.599,9,2340
-0.459,2.73,10.96,30,2370
-1.069,3.919,9.389,20,2390
-0.989,3.46,8.349,10,2400
0.109,3.559,8.399,31,2431
-0.099,3.409,8.59,9,2440
0.34,3.279,7.259,30,2470
-0.81,3.399,6.819,11,2481
-1.049,3.089,7.639,29,2510
-3.339,2.25,6.869,21,2531
-3.339,2.25,6.869,9,2540
-1.74,2.159,8.5,20,2560
-1.519,0.939,7.96,30,2590
-1.079,2.059,8.25,11,2601
0.179,1.559,8.72,30,2631
0.179,1.559,8.72,9,2640
3.799,1.829,9.519,30,2670
3.139,3.329,11.359,11,2681
2.2,2.75,10.489,19,2700
1.979,0.07,9.479,20,2720
1.439,0.61,9.439,20,2740
1.519,1.759,4.69,20,2760
1.669,2.779,9.619,21,2781
1.629,2.19,10.609,20,2801
1.209,1.289,9.199,20,2821
2.24,1.37,8.649,19,2840
3.339,1.1,8.55,31,2871
4.549,1.61,8.3,20,2891
5.319,1.879,8.269,20,2911
3.609,1.579,7.69,20,2931
1.179,-0.319,5.759,20,2951
2.059,-0.5,5.25,19,2970
4.4,0.07,5.589,21,2991
7.44,-0.579,6.69,23,3014
7.099,-0.219,7.359,17,3031
5.19,-1.24,6.809,19,3050
6.17,-2.2,5.269,21,3071
6.539,-2.45,5,19,3090
6.909,-2.569,4.429,20,3110
7.409,-1.24,7.449,21,3131
9.899,-1.909,5.349,19,3150
9.899,-1.909,5.349,20,3170
14.589,-2.19,2.2,21,3191
14.42,0.479,1.299,20,3211
14.38,2.319,1,20,3231
13.369,2.109,1.689,19,3250
12.529,1.199,2.119,20,3270
11.42,1.35,1.23,21,3291
10.699,2,1.199,19,3310
10.389,1.24,2.309,21,3331
10.389,-0.389,2.599,20,3351
10.389,-0.389,2.599,19,3370
10.75,-2.119,2.72,20,3390
11.3,-2.619,2.2,21,3411
12.289,-2.5,0.629,19,3430
13.869,-3.48,-2.329,20,3450
